"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"交通处"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"交通安全"	0	1	0	0	0	0	0	1	0.165	0.401	0.14	0.603	0.051	0.119	0.165	0.355	-0.075	0.443	-0.063	-0.312	-0.023	-0.054	-0.075	0.49	1.535	"8"
"产业"	0	0	0	4	0	0	0	0	0.33	0.801	0.28	1.206	0.103	0.239	0.331	0.711	-0.149	-0.388	-0.126	2.083	-0.045	-0.107	-0.15	-0.34	3.388	"4"
"人事"	0	1	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	0.698	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.083	"2"
"人体"	0	0	0	0	0	0	0	1	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	-0.037	0.75	1.147	"8"
"人力部"	0	0	0	2	0	0	0	0	0.165	0.401	0.14	0.603	0.051	0.119	0.165	0.355	-0.075	-0.194	-0.063	1.042	-0.023	-0.054	-0.075	-0.17	1.696	"4"
"人权"	0	1	0	2	0	0	0	0	0.247	0.601	0.21	0.904	0.077	0.179	0.248	0.533	-0.112	0.311	-0.095	0.662	-0.034	-0.08	-0.112	-0.255	1.661	"4"
"人权法"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"人格"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"人民"	7	0	0	4	0	0	2	0	1.071	2.605	0.91	3.919	0.333	0.777	1.075	2.311	4.549	-1.262	-0.41	0.234	-0.147	-0.348	0.534	-1.105	8.589	"1"
"人身"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"什叶派"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"介"	0	0	0	0	0	0	0	1	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	-0.037	0.75	1.147	"8"
"从事公"	0	0	0	0	0	0	1	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	1.083	-0.085	1.528	"7"
"他人"	0	0	1	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	1.155	-0.156	-0.011	-0.027	-0.037	-0.085	1.605	"3"
"代理孕母"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"代言"	0	0	1	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	1.155	-0.156	-0.011	-0.027	-0.037	-0.085	1.605	"3"
"令"	0	0	0	5	0	0	0	0	0.412	1.002	0.35	1.507	0.128	0.299	0.413	0.889	-0.187	-0.486	-0.158	2.604	-0.056	-0.134	-0.187	-0.425	4.237	"4"
"以"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"以免"	0	0	1	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	1.155	-0.156	-0.011	-0.027	-0.037	-0.085	1.605	"3"
"仲裁"	0	0	0	2	0	0	0	0	0.165	0.401	0.14	0.603	0.051	0.119	0.165	0.355	-0.075	-0.194	-0.063	1.042	-0.023	-0.054	-0.075	-0.17	1.696	"4"
